pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,habitability_score,terraformability_score,st_activity,pl_atmos,pl_surf_temp,pl_escape_vel,pl_radiation_flux,ESI,pl_water_probability
TOI-4010 e,13.3,692,762,174,4960,0.88,0.83,0.37,-1.850842753,1.975050296,3.912035728,-0.002497814,49.61119598,84.09213272,0.76,1,191.4,80.78770099,0.004484039,0.034537961,0.664583333
BD-06 1339 c,8.38,53,125.94,912.5307146,4324,0.7,0.69,-0.14,0,-0.856467285,0.754723429,-0.184568373,42.64509705,58.39776131,0.919,0.51561846,959.5824828,28.16656899,0.005943218,0.003742025,0
TOI-858 B b,14.067,349.61125,3.2797178,1529,5842,1.08,1.31,0.153,1.544942799,0.770267325,1.766779796,-0.126206814,48.59554145,81.0388648,0.5395,0.999997258,1681.899581,55.83544459,0.812433209,0.000153827,0
TOI-5153 b,11.882,1036.12061,20.33003,906,6300,1.24,1.4,0.12,-0.016366721,0.587051482,7.338904165,0.195117053,45.31852076,91.03822187,0.425,1,996.6,104.5871684,0.371891375,0.001246638,0
DE CVn b,12.4,3823.2733,4098.1,912.5307146,3579,0.51,0.42,0.014262971,0,-3.37E-16,24.86520096,1.205793967,42.56608097,98.07972125,1,1,1003.783786,196.6639927,0.000101402,0.000784483,0
WASP-163 b,13.473,594.3421,1.6096884,1638,5500,0.97,1.01,-0.34,1.818109311,-1.966866336,3.274220135,-0.039278287,47.07769042,85.14084572,0.625,1,1801.8,74.38821113,0.609755153,9.54E-05,0
TOI-5218 b,9.86,657,4.291452,783,4230,0.74,0.71,0.41,-0.324618841,2.197130106,6.757896556,0.161612487,42.99244639,86.48812353,0.9425,1,861.3,91.42442761,0.054831717,0.002782283,0
TOI-2046 b,16.141,731.00534,1.4971842,1828.819919,6250,1.13,1.21,-0.06,2.296325933,-0.412307664,2.805819147,-0.066289245,46.02244509,85.3270551,0.4375,1,2011.70191,75.37252746,1.531547614,5.04E-05,0
TOI-2136 b,2.19,6.37,7.851928,395,3342,0.34,0.34,0.03,-1.296991382,0.087371909,1.328162465,-0.151500258,50.70248742,53.18643505,1,0.489238847,414.3249345,19.10142121,0.003275085,0.205140237,0.561371755
TOI-2427 b,1.8,3.89,1.3060011,1117,4072,0.64,0.65,0.014262971,0.512423502,-3.37E-16,1.200617284,-0.158855318,43.25583892,47.0242957,0.982,0.043533508,1121.862693,16.46480421,0.087227203,0.00482261,0
HD 178911 B b,12.6,2552.1749,71.484,912.5307146,5588,1.24,1.08,0.24,0,1.253290913,16.07567964,0.698934681,43.00171903,96.39165281,0.603,1,1003.783786,159.3998714,0.059241183,0.000893257,0
HD 206893 c,16.365,4036.42077,2090,1181.9,6500,1.32,1.31,0.014262971,0.675070352,-3.37E-16,15.07177538,0.641043223,42.68191447,97.46174327,0.375,1,1300.09,175.8969196,0.016813379,0.00023013,0
OGLE-2017-BLG-1434L b,1.94,4.43,,912.5307146,5412.39249,0.23,,0.014262971,0,-3.37E-16,1.177064513,-0.16021352,42.68894455,48.99189107,0.646901878,0.101116158,921.7578747,16.92462368,0,0.010892864,0
GJ 1061 b,1.1,1.37,3.204,912.5307146,2953,0.12,0.16,-0.08,0,-0.523347569,1.132231405,-0.16279888,42.74508407,44.79348874,1,0.081513883,919.9691069,12.4991927,0.000803628,0.014999202,0
GJ 1061 c,1.18,1.74,6.689,912.5307146,2953,0.12,0.16,-0.08,0,-0.523347569,1.249640908,-0.156028306,42.73300223,45.38738631,1,0.085627575,920.3444939,13.6003988,0.000491975,0.014198825,0
HD 175607 b,2.94,8.98,29.01,912.5307146,5392,0.71,0.7,-0.62,0,-3.521425007,1.038918969,-0.168179864,42.94986198,50.81243092,0.652,0.119218969,923.4098118,19.57413259,0.039359869,0.008589957,0
HD 181720 b,14,127.132,956,912.5307146,5736,1.03,1.5,-0.62,0,-3.521425007,0.648632653,-0.190686237,42.74749364,68.08564878,0.566,0.978286469,1001.80236,33.75059585,0.022518373,0.002167265,0
HD 192699 b,13.4,666.17168,340.94,912.5307146,5041,1.38,4.41,-0.15,0,-0.911987237,3.710022722,-0.014147159,44.2737049,84.56262424,0.73975,1,1003.783786,78.96937605,0.230877626,0.001351049,0
HD 20782 b,13.6,472.83,597.0643,912.5307146,5782.13,1.04,1.13,-0.054,0,-0.378995693,2.556390571,-0.080672872,42.70652385,80.4601537,0.5544675,1,1003.783786,66.03909003,0.018059986,0.001493867,0
